sex,sexpref,age,alex,alexander,alfred,ambroz,arnold,arpad,bedrich,blazej,bretislav,cestmir,ctirad,dalimil,david,frederik,gabriel,herbert,herman,hynek,igor,ivan,ivan2,jan,josef,justin,kamil,kazimir,kristian,lumir,mike,mikulas,milos,miroslav,miroslav1,mojmir,oldrich,oleg,patrik,petrb,pravoslav,rehor,robin,rudolf,slavomir,stefan,svatopluk,tomas,tomasi,vincent,vladislav,vlastimil
male,women,24.4,1,4,2,2,1,2,2,1,1,1,1,1,3,1,3,4,1,2,1,2,2,1,2,4,2,1,2,3,2,3,2,1,3,2,2,2,2,3,1,4,2,3,2,2,3,2,1,1,3,4
male,women,20.3,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1
male,women,27.2,3,4,2,3,3,2,1,3,3,4,3,1,2,3,3,2,2,4,2,2,1,3,2,2,1,2,1,3,5,2,4,2,1,3,1,4,3,5,2,4,3,3,3,2,5,4,1,2,2,4
male,women,20.2,3,6,1,2,1,3,2,2,5,2,2,3,3,2,2,2,1,4,4,1,3,3,1,5,2,1,1,4,3,6,6,1,2,4,2,4,2,2,1,3,1,3,3,1,4,3,1,1,5,4
male,women,21.9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1
male,women,32.6,2,4,2,2,3,4,2,3,4,6,3,2,5,3,3,5,2,3,3,4,3,3,5,3,4,1,3,3,4,3,3,2,4,3,3,5,2,3,2,4,1,3,5,3,4,2,1,2,3,4
male,women,20.3,1,3,2,1,1,3,2,2,3,1,1,3,4,1,3,2,1,1,1,1,2,1,1,1,1,1,1,4,3,1,1,1,1,2,1,2,1,2,2,3,1,2,1,1,1,1,2,1,5,1
male,women,39,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
male,women,29.4,2,3,2,5,3,3,2,5,5,4,7,3,3,2,3,5,2,3,2,5,4,4,3,4,2,2,2,5,6,5,5,2,3,3,2,4,5,5,3,4,2,3,5,3,2,2,3,3,6,5
male,women,29.5,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
