sex,sexpref,age,alex,alexander,alfred,ambroz,arnold,arpad,bedrich,blazej,bretislav,cestmir,ctirad,dalimil,david,frederik,gabriel,herbert,herman,hynek,igor,ivan,ivan2,jan,josef,justin,kamil,kazimir,kristian,lumir,mike,mikulas,milos,miroslav,miroslav1,mojmir,oldrich,oleg,patrik,petrb,pravoslav,rehor,robin,rudolf,slavomir,stefan,svatopluk,tomas,tomasi,vincent,vladislav,vlastimil
male,women,31.9,5,4,6,3,4,6,4,4,5,6,4,3,2,4,4,5,3,4,4,4,5,4,4,5,4,4,2,5,5,4,5,4,3,4,5,4,4,6,3,5,3,5,5,5,4,3,3,3,5,5
male,women,32,3,4,4,5,4,4,3,4,4,4,4,4,4,4,5,4,3,3,3,4,5,4,4,4,2,5,3,4,6,4,4,2,4,3,4,4,3,5,2,2,3,5,4,3,5,3,3,4,5,3
male,women,20.9,2,2,5,2,2,4,3,4,5,3,5,3,4,5,4,3,2,4,3,3,3,3,2,4,5,3,2,5,6,4,3,2,5,3,3,3,2,3,1,5,3,4,4,2,3,3,3,3,3,4
male,women,22.1,3,3,3,3,3,3,3,3,3,3,5,4,1,6,5,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,4,2,3,3,2,4,3,3,3,4,3,3,5,3,1,3,3,5,4,3
male,women,34.7,5,3,3,3,2,4,3,4,2,2,2,3,5,3,3,4,2,3,3,1,3,2,3,2,3,1,1,4,5,3,5,3,2,4,2,3,4,4,3,3,4,5,3,2,3,3,3,2,4,4
male,women,40.5,4,2,3,4,3,3,3,4,3,4,4,3,3,4,3,4,3,3,3,3,5,3,3,3,2,2,1,6,5,3,5,2,4,3,3,5,3,4,3,4,3,5,5,3,3,3,2,2,3,4
male,women,18.8,2,3,4,3,2,3,4,5,4,5,2,3,5,3,4,4,2,3,3,4,3,1,5,3,3,2,2,4,6,4,3,3,2,3,3,4,3,4,3,5,3,4,3,3,5,3,2,1,4,4
male,women,20,3,4,4,3,3,3,2,4,6,3,4,5,3,3,2,6,1,3,2,3,4,1,4,2,3,1,1,6,6,3,3,3,1,3,1,2,5,2,2,2,4,3,4,1,4,1,3,1,5,4
male,women,26.6,4,4,2,3,1,2,2,2,5,3,2,1,5,2,4,2,1,2,3,1,2,2,1,5,2,1,1,1,6,2,3,1,2,3,1,2,2,3,2,4,1,1,1,1,2,2,1,1,5,3
male,women,39.6,6,3,5,3,4,2,2,4,7,6,5,3,2,5,6,3,2,4,5,5,2,5,6,6,4,1,1,5,6,3,2,3,3,7,5,5,3,6,2,4,5,3,6,1,5,2,5,1,7,7
male,women,23.3,6,7,4,5,5,6,4,7,5,6,5,3,4,5,5,7,1,3,6,5,6,6,7,6,6,4,1,7,7,5,7,3,3,6,6,7,4,5,3,5,5,5,5,3,6,3,6,2,6,4
male,women,27.1,6,5,6,4,3,5,4,5,5,5,4,4,4,4,5,6,3,3,4,5,6,4,5,4,5,2,3,5,6,4,3,4,4,5,3,6,6,6,3,5,4,4,5,5,4,3,4,4,4,6
male,women,35.4,4,2,5,3,4,3,3,2,4,5,1,4,2,4,3,2,7,5,6,6,5,5,2,4,4,6,7,2,3,4,3,6,3,2,5,5,6,4,6,2,5,2,4,4,5,4,6,5,4,4
male,women,23.5,6,5,3,5,2,3,4,6,7,5,5,7,5,3,2,4,3,6,1,1,6,3,5,2,4,4,1,6,3,3,3,1,1,6,2,6,5,7,3,3,2,4,5,3,5,4,7,3,5,4
male,women,21.7,4,3,3,3,2,3,1,4,2,4,4,2,3,2,2,5,1,2,2,2,3,2,3,4,2,2,1,5,5,2,4,2,2,3,2,5,2,3,1,4,3,2,4,2,4,3,2,1,4,2
male,women,25.5,2,2,4,1,1,4,1,2,4,2,4,4,4,4,1,4,5,3,5,4,2,4,4,4,3,2,3,4,3,4,4,2,1,4,5,3,4,3,1,4,5,3,4,2,2,2,1,1,5,4
male,women,40.5,4,3,5,3,4,4,2,4,4,2,5,3,4,3,4,5,2,2,5,2,4,4,5,4,4,3,1,5,5,3,4,5,3,4,4,4,4,2,3,3,4,3,5,3,3,3,4,3,4,5
male,women,18.6,7,7,7,7,2,7,7,7,6,7,7,7,7,7,7,7,7,7,3,7,1,7,2,7,7,7,7,7,5,7,7,4,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,2
male,women,24.8,3,4,3,1,2,2,3,2,5,3,4,4,4,4,3,3,3,4,2,3,4,2,3,5,3,2,2,5,4,4,4,3,4,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,4,4
male,women,18.3,1,2,3,1,1,2,1,2,2,1,3,1,3,1,2,1,1,2,1,2,2,2,4,2,6,1,1,4,6,1,1,1,2,2,1,1,1,2,1,5,1,1,3,1,1,2,1,1,3,2
male,women,18,5,6,4,5,4,5,3,5,5,4,5,5,4,4,4,3,2,4,4,3,4,4,4,5,3,2,2,4,5,4,2,4,3,5,4,5,3,3,2,3,3,3,5,5,3,4,4,3,3,4
male,women,20.4,3,4,5,4,1,2,6,6,3,2,6,4,2,4,5,6,1,6,4,5,6,4,6,6,4,1,1,6,7,3,6,3,5,7,5,5,4,3,2,5,2,6,4,2,7,3,1,1,4,7
male,women,19.8,3,2,4,2,2,3,3,2,3,3,3,3,4,3,4,2,3,2,3,3,2,2,3,3,2,1,2,3,3,4,4,2,2,3,3,3,2,4,3,5,3,4,2,3,2,4,2,1,2,4
male,women,25.6,6,6,6,4,7,5,6,5,5,4,5,5,3,3,4,6,6,2,5,4,6,3,5,6,4,6,2,6,4,3,6,4,3,3,3,5,7,5,6,4,4,4,6,4,5,6,5,3,6,4
male,women,19.8,3,5,3,6,4,5,4,7,5,6,6,5,5,2,4,6,3,4,5,5,2,4,5,4,2,3,2,6,6,4,5,4,4,6,6,5,6,5,3,4,5,6,5,5,4,4,4,4,5,6
male,women,18.9,3,3,4,3,3,3,3,4,4,4,3,2,3,3,3,3,3,3,3,2,5,3,3,3,3,1,3,4,4,5,3,2,2,2,3,3,3,2,2,2,2,3,4,3,5,3,3,2,3,3
male,women,19.5,2,2,1,3,1,4,3,4,2,3,3,2,3,3,3,4,2,1,3,4,1,2,3,2,1,2,1,2,1,2,4,1,3,2,4,3,4,4,1,2,3,3,3,1,2,1,3,1,3,3
male,women,18.1,3,6,3,5,4,4,5,6,6,5,6,5,6,4,5,5,3,4,5,5,6,6,5,6,3,4,2,5,7,4,5,3,4,6,4,6,5,4,3,5,4,6,6,4,5,5,5,4,5,5
male,women,18.2,7,4,7,5,6,7,6,7,7,6,7,7,6,5,7,5,5,5,5,5,5,6,7,6,2,2,3,7,5,7,2,4,2,4,7,6,4,7,7,2,7,5,7,2,5,6,6,7,7,7
